file_name,gt_label_num,pred_label_num,IoU,Dice
ooi_optasense_north_c2_full_20211102_215601.txt,None,20,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,21,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,22,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,23,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,0,None,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,1,4,0.8048732112420622,0.8918889218685588
ooi_optasense_north_c2_full_20211102_223201.txt,2,2,0.8904763422886478,0.9420655761400553
ooi_optasense_north_c2_full_20211102_223201.txt,3,0,0.4938578496339971,0.6611845293780727
ooi_optasense_north_c2_full_20211102_223201.txt,4,5,0.6184130966339741,0.7642215673120414
ooi_optasense_north_c2_full_20211102_223201.txt,5,3,0.24920465515860885,0.3989813104354271
ooi_optasense_north_c2_full_20211102_223201.txt,6,None,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,1,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,6,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,7,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,8,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,9,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,10,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,11,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,12,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,13,0,0
ooi_optasense_north_c2_full_20211102_223201.txt,None,14,0,0
ooi_optasense_north_c2_full_20211102_222301.txt,0,2,0.8599523718116592,0.9247036481628134
ooi_optasense_north_c2_full_20211102_222301.txt,1,3,0.8188010375670111,0.9003745001842648
ooi_optasense_north_c2_full_20211102_222301.txt,2,0,0.8258943833002742,0.904646392314854
ooi_optasense_north_c2_full_20211102_222301.txt,3,4,0.7867618827085283,0.8806566675979078
ooi_optasense_north_c2_full_20211102_222301.txt,4,1,0.6071619983017061,0.7555703767800591
ooi_optasense_north_c2_full_20211102_222301.txt,5,7,0.3679023985922936,0.5379073813612748
ooi_optasense_north_c2_full_20211102_222301.txt,None,5,0,0
ooi_optasense_north_c2_full_20211102_222301.txt,None,6,0,0
ooi_optasense_north_c2_full_20211102_222301.txt,None,8,0,0
ooi_optasense_north_c2_full_20211102_222301.txt,None,9,0,0
ooi_optasense_north_c2_full_20211102_222301.txt,None,10,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,0,3,0.4754518585854787,0.6444830521834797
ooi_optasense_north_c2_full_20211102_223331.txt,1,1,0.29883974466149577,0.4601641517204719
ooi_optasense_north_c2_full_20211102_223331.txt,2,2,0.7888920593623104,0.8819895591056865
ooi_optasense_north_c2_full_20211102_223331.txt,3,0,0.731108197105571,0.8446707124696083
ooi_optasense_north_c2_full_20211102_223331.txt,4,6,0.6014599654800521,0.7511395582090101
ooi_optasense_north_c2_full_20211102_223331.txt,5,23,0.6582184214448564,0.7938862732827814
ooi_optasense_north_c2_full_20211102_223331.txt,None,4,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,5,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,7,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,8,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,9,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,10,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,11,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,12,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,13,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,14,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,15,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,16,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,17,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,18,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,19,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,20,0,0
ooi_optasense_north_c2_full_20211102_223331.txt,None,21,0,0
